sample_id,logp_pseudo,logp_classic,logp_mix,acc_classic,acc_mix
0,-56.338340759277344,-46.80792999267578,-44.934879302978516,0.140625,0.25
1,-54.99032974243164,-48.56245422363281,-47.16065216064453,0.1875,0.03125
2,-54.863224029541016,-45.88298797607422,-46.09307861328125,0.21875,0.125
3,-54.150230407714844,-49.52021026611328,-45.59307861328125,0.25,0.015625
4,-53.5052375793457,-49.43855285644531,-47.04792022705078,0.234375,0.203125
5,-55.03868103027344,-46.74658966064453,-44.37445831298828,0.234375,0.046875
6,-56.06153106689453,-44.99918746948242,-45.13936996459961,0.1875,0.0625
7,-52.481605529785156,-49.23095703125,-46.55840301513672,0.234375,0.046875
8,-54.836090087890625,-45.53330612182617,-45.47719192504883,0.15625,0.25
9,-60.07442855834961,-48.521358489990234,-44.22315216064453,0.15625,0.203125
10,-52.9224967956543,-47.35955047607422,-46.3509407043457,0.25,0.03125
11,-55.65979766845703,-47.28709411621094,-45.761741638183594,0.15625,0.234375
12,-53.74260330200195,-48.571632385253906,-47.383697509765625,0.234375,0.015625
13,-56.72899627685547,-48.356231689453125,-47.09379196166992,0.15625,0.09375
14,-54.81454849243164,-46.01628875732422,-46.25489807128906,0.171875,0.015625
15,-57.50523376464844,-45.703636169433594,-45.167396545410156,0.140625,0.078125
16,-55.97397232055664,-47.35350036621094,-44.67500305175781,0.15625,0.15625
17,-55.399314880371094,-46.37425231933594,-45.05454635620117,0.1875,0.1875
18,-53.59467697143555,-45.32606506347656,-46.558448791503906,0.21875,0.265625
19,-53.8714599609375,-45.703529357910156,-46.52020263671875,0.265625,0.03125
20,-56.98845672607422,-47.16624450683594,-47.817787170410156,0.171875,0.1875
21,-55.222694396972656,-46.71464920043945,-48.09992599487305,0.25,0.0625
22,-52.81383514404297,-49.62569046020508,-47.91347122192383,0.296875,0.25
23,-53.14466094970703,-46.539459228515625,-45.72357177734375,0.265625,0.046875
24,-54.162384033203125,-45.69111633300781,-43.714027404785156,0.234375,0.171875
25,-56.67949676513672,-46.643898010253906,-44.193695068359375,0.15625,0.03125
26,-53.91419982910156,-45.38764190673828,-44.50775146484375,0.203125,0.203125
27,-56.84395217895508,-45.83256149291992,-44.917457580566406,0.140625,0.296875
28,-55.378570556640625,-47.63818359375,-46.164031982421875,0.21875,0.03125
29,-53.62101745605469,-46.807987213134766,-44.795135498046875,0.203125,0.0625
30,-55.92134094238281,-47.193580627441406,-45.7459716796875,0.15625,0.296875
31,-52.846092224121094,-48.54791259765625,-45.3382568359375,0.1875,0.203125
32,-56.31806945800781,-45.86750030517578,-45.57063674926758,0.15625,0.03125
33,-57.60218811035156,-46.17131423950195,-42.99351501464844,0.15625,0.28125
34,-53.60321807861328,-46.20588302612305,-44.65779495239258,0.125,0.03125
35,-56.78178405761719,-46.58002471923828,-44.01649475097656,0.234375,0.1875
36,-51.33222198486328,-47.256736755371094,-46.241329193115234,0.140625,0.015625
37,-55.05204772949219,-47.78119659423828,-48.387413024902344,0.171875,0.25
38,-53.63390350341797,-47.17159652709961,-48.356727600097656,0.140625,0.03125
39,-54.871490478515625,-45.870704650878906,-45.865108489990234,0.1875,0.171875
40,-55.678749084472656,-48.70111846923828,-44.725128173828125,0.1875,0.015625
41,-55.48213195800781,-44.323455810546875,-46.20935821533203,0.140625,0.15625
42,-53.07459259033203,-46.37036895751953,-45.110748291015625,0.15625,0.1875
43,-58.42913055419922,-45.88438034057617,-45.21375274658203,0.171875,0.25
44,-58.27342987060547,-46.665016174316406,-45.574649810791016,0.125,0.234375
45,-54.62290954589844,-46.31806182861328,-46.16960144042969,0.234375,0.046875
46,-53.61726760864258,-48.52446746826172,-47.419891357421875,0.15625,0.0625
47,-53.1813850402832,-46.73658752441406,-45.32890701293945,0.171875,0.046875
48,-57.17930603027344,-45.353416442871094,-46.651981353759766,0.125,0.046875
49,-55.47541427612305,-45.887168884277344,-47.45873260498047,0.265625,0.0625
50,-51.630706787109375,-47.581600189208984,-47.10813903808594,0.125,0.234375
51,-53.97029113769531,-47.22477722167969,-47.35145568847656,0.15625,0.171875
52,-56.96818161010742,-45.708839416503906,-47.18644332885742,0.125,0.25
53,-54.72208023071289,-46.97270584106445,-49.473785400390625,0.25,0.203125
54,-58.66248321533203,-47.03557586669922,-45.60934829711914,0.078125,0.265625
55,-57.21443176269531,-46.612648010253906,-43.87828826904297,0.15625,0.234375
56,-52.29471206665039,-46.45953369140625,-45.01362609863281,0.15625,0.171875
57,-55.963382720947266,-43.85693359375,-45.17293930053711,0.171875,0.265625
58,-55.166419982910156,-48.173500061035156,-45.22819519042969,0.1875,0.03125
59,-58.03611755371094,-48.438926696777344,-45.73609161376953,0.21875,0.3125
60,-55.168357849121094,-47.56687927246094,-45.52838134765625,0.15625,0.28125
61,-53.380455017089844,-48.78894805908203,-44.99701690673828,0.234375,0.125
62,-53.90918731689453,-47.86308288574219,-44.03175354003906,0.234375,0.015625
63,-53.60203170776367,-46.404598236083984,-45.97378158569336,0.140625,0.0625
64,-52.690589904785156,-49.50969314575195,-46.739234924316406,0.234375,0.0625
65,-56.265052795410156,-46.396339416503906,-47.25939178466797,0.125,0.21875
66,-57.702388763427734,-49.530853271484375,-47.3738899230957,0.28125,0.1875
67,-54.232975006103516,-48.21916198730469,-45.193817138671875,0.21875,0.296875
68,-56.42730712890625,-48.3603630065918,-44.86001968383789,0.203125,0.03125
69,-52.438873291015625,-47.92778778076172,-43.510009765625,0.125,0.203125
