step,f1,logp
2000,0.5317639471138342,-234.07878919756075
2100,0.5325249877109618,-195.16860152603184
2200,0.5238332502906494,-180.7218333524537
2300,0.5192114934847979,-170.53604376516324
2400,0.5107454667562122,-166.25520500380824
2500,0.5094276094276095,-159.7339234380143
2600,0.5076845127512245,-158.11975124251057
2700,0.5099169350737414,-156.18633425653599
2800,0.507295554801493,-151.37197080481945
2900,0.5043271678262345,-149.3455204076926
3000,0.505338078291815,-148.1244886515923
3100,0.505002543666271,-143.7755457181384
3200,0.5041560644614079,-141.51814897063278
3300,0.498805868304333,-141.57553009173637
3400,0.4964903269988016,-139.00931663933162
3500,0.497943797121316,-138.58497682216887
3600,0.4969987995198079,-137.2344642383405
3700,0.49639299209893506,-135.3403668857338
3800,0.49544125236538794,-135.2971371161206
3900,0.4984498794350672,-133.5248044398024
4000,0.5003448275862069,-133.4450376026648
4100,0.500605850787606,-131.65748681639815
4200,0.5013860013860014,-130.8329762584667
4300,0.49974025974025976,-130.39938903584954
4400,0.49809358752166377,-130.40424226775093
4500,0.49887250650477016,-129.62833409236148
4600,0.4979166666666667,-128.587367196007
4700,0.49852558542931485,-127.44321678273774
4800,0.49791811242192924,-127.11252899356566
4900,0.4986994971388937,-126.86997644003296
5000,0.49600833044081916,-126.4940529493393
5100,0.4950598023920957,-126.50078961108434
5200,0.49515570934256053,-126.53044381054951
5300,0.4979281767955801,-126.04277154362919
5400,0.49628477622256784,-126.07227754693227
5500,0.4981874676333506,-126.09160647477856
5600,0.5012073128665057,-126.11409308948198
5700,0.5023287907538382,-126.09238945348264
5800,0.5012955605458629,-125.34870393505085
5900,0.5018998272884283,-123.62085432861547
6000,0.502158521844241,-123.45240080263792
6100,0.5025906735751295,-123.16747925523782
6200,0.5027624309392266,-122.92453693576827
6300,0.5041436464088398,-122.66300104043728
6400,0.5044920525224602,-122.15316058920385
6500,0.5051867219917012,-122.14908766178158
6600,0.5062240663900415,-121.7370752929566
6700,0.5081230556515728,-121.45307580089758
6800,0.5100207325501037,-121.03862669236351
6900,0.5090783330451323,-120.74944920066821
7000,0.5108000691204424,-120.7695685486496
7100,0.5113950276243094,-119.98534677429743
7200,0.512590548464988,-119.96471890387022
7300,0.5100949094046592,-119.9836913096201
7400,0.5112107623318386,-120.0021689056235
7500,0.5100138121546961,-119.2155365953178
7600,0.5105208692652639,-119.15353362980338
7700,0.5100879461976203,-118.54092853595401
7800,0.5112756068170081,-118.29082021100808
7900,0.5120440467997247,-117.98507496012925
8000,0.5120523415977961,-117.78454051297086
8100,0.5126527801687037,-117.54092455369646
8200,0.5130853994490359,-117.38084869229978
8300,0.5138625796452557,-115.47734820177098
8400,0.5150628335341711,-115.11348642295776
8500,0.5155739115470659,-114.93788632717298
8600,0.5145514034785603,-114.66523500393333
8700,0.5141281874569262,-114.5805397006308
8800,0.5148958153952127,-114.48763954335908
8900,0.5145514034785603,-114.37132037615179
9000,0.5148173673328739,-114.27443926315932
9100,0.5151619572708477,-113.87546484202576
9200,0.5153184165232358,-113.84684246795577
9300,0.5162622612287042,-113.79820902022868
9400,0.5168500687757909,-113.68836832982174
9500,0.517792676637442,-113.57703100757875
9600,0.5177158582731338,-113.09394640727993
9700,0.5181489764321349,-112.99369916378829
9800,0.5194358445132439,-112.79063746097384
9900,0.519422481952561,-112.80266851685558
10000,0.5192439862542956,-112.58417900554738
10100,0.5190025795356836,-112.59655744354276
10200,0.5190025795356836,-112.60876953475513
10300,0.51865864144454,-112.61608504839116
10400,0.5184930328573886,-112.62197719412089
10500,0.5188370892826424,-112.51920186764315
10600,0.518582243633861,-112.29888989735254
10700,0.5191811457078961,-112.30642165718402
10800,0.5191811457078961,-112.31310093604657
10900,0.5195117758294654,-112.31745705740977
11000,0.5190918472652218,-112.32857275590052
11100,0.5191811457078961,-112.33959320416179
11200,0.519104991394148,-112.34239173607052
11300,0.5192837465564738,-112.32417823221736
11400,0.5188630490956072,-111.28226029426826
11500,0.519807096107475,-110.10484010759619
11600,0.519986216402481,-109.91843144901233
11700,0.5203308063404548,-109.8690753881613
11800,0.5200758228502499,-109.6175014115939
11900,0.5195521102497846,-109.62762925180996
12000,0.5194492254733218,-109.25792183261203
12100,0.5193598347960764,-108.82000053883604
12200,0.5193598347960764,-108.81760803669451
12300,0.5186714851144382,-108.6938504259534
12400,0.5182381280110117,-108.70066558042112
12500,0.5182381280110117,-108.4878602166799
12600,0.5186714851144382,-107.35463317820319
12700,0.518327310273619,-107.36400327267427
12800,0.5176389605919808,-107.37319829089918
12900,0.5178049200068812,-107.38232630408335
13000,0.5179707652622528,-106.65114501812664
13100,0.5177804500944855,-106.66016444353657
13200,0.5165061898211829,-106.25988194698333
13300,0.5175257731958763,-106.2353957620951
13400,0.5180350395053246,-106.24413357373025
13500,0.5188873626373627,-105.9443884223749
13600,0.5190525231719877,-105.95284046065848
13700,0.5185312285518188,-105.96001394710612
13800,0.5184422714016126,-105.96850919302997
13900,0.5178448867536033,-105.97692044029557
14000,0.5183533447684391,-105.98507135910015
14100,0.5175905268577312,-105.99262920136381
14200,0.5176793683487814,-105.97600363333669
14300,0.5175905268577312,-105.98413807824693
14400,0.5178448867536033,-105.98347127166886
14500,0.5169927909371782,-105.99133962347352
14600,0.5175905268577312,-105.36411192977167
14700,0.5171703296703297,-105.19440752642569
14800,0.5172591447707368,-105.19117298133301
14900,0.5177682403433477,-104.66110366115186
15000,0.5178571428571429,-104.66880360831294
15100,0.5177682403433477,-104.67502229748608
15200,0.5175905268577312,-104.66010659340199
15300,0.5181115879828326,-104.26772009757741
15400,0.5181115879828326,-104.228853412961
15500,0.5183659457603845,-104.23330838509716
15600,0.5191284954537656,-103.68029870236931
15700,0.5188743994509266,-103.68353376404208
15800,0.518696397941681,-103.69079408939655
15900,0.5192043895747599,-103.697998664378
